"term","label"
"http://purl.obolibrary.org/obo/HP_0000035","Abnormal testis morphology"
"http://purl.obolibrary.org/obo/HP_0000036","Abnormal penis morphology"
"http://purl.obolibrary.org/obo/HP_0000037","Male pseudohermaphroditism"
"http://purl.obolibrary.org/obo/HP_0000039","Epispadias"
"http://purl.obolibrary.org/obo/HP_0000040","Long penis"
"http://purl.obolibrary.org/obo/HP_0000041","Chordee"
"http://purl.obolibrary.org/obo/HP_0000042","Absent external genitalia"
"http://purl.obolibrary.org/obo/HP_0000044","Hypogonadotropic hypogonadism"
"http://purl.obolibrary.org/obo/HP_0000045","Abnormal scrotum morphology"
"http://purl.obolibrary.org/obo/HP_0000046","Small scrotum"
"http://purl.obolibrary.org/obo/HP_0000047","Hypospadias"
"http://purl.obolibrary.org/obo/HP_0000048","Bifid scrotum"
"http://purl.obolibrary.org/obo/HP_0000049","Shawl scrotum"
"http://purl.obolibrary.org/obo/HP_0000050","Hypoplastic male external genitalia"
"http://purl.obolibrary.org/obo/HP_0000051","Perineal hypospadias"
"http://purl.obolibrary.org/obo/HP_0000052","Urethral atresia, male"
"http://purl.obolibrary.org/obo/HP_0000053","Macroorchidism"
"http://purl.obolibrary.org/obo/HP_0000054","Micropenis"
"http://purl.obolibrary.org/obo/HP_0000055","Abnormal female external genitalia morphology"
"http://purl.obolibrary.org/obo/HP_0000056","Abnormal clitoris morphology"
"http://purl.obolibrary.org/obo/HP_0000058","Abnormal labia morphology"
"http://purl.obolibrary.org/obo/HP_0000059","Hypoplastic labia majora"
"http://purl.obolibrary.org/obo/HP_0000060","Clitoral hypoplasia"
"http://purl.obolibrary.org/obo/HP_0000061","Ambiguous genitalia, female"
"http://purl.obolibrary.org/obo/HP_0000062","Ambiguous genitalia"
"http://purl.obolibrary.org/obo/HP_0000063","Fused labia minora"
"http://purl.obolibrary.org/obo/HP_0000064","Hypoplastic labia minora"
"http://purl.obolibrary.org/obo/HP_0000065","Labial hypertrophy"
"http://purl.obolibrary.org/obo/HP_0000066","Labial hypoplasia"
"http://purl.obolibrary.org/obo/HP_0000067","Urethral atresia, female"
"http://purl.obolibrary.org/obo/HP_0000068","Urethral atresia"
"http://purl.obolibrary.org/obo/HP_0000069","Abnormality of the ureter"
"http://purl.obolibrary.org/obo/HP_0000070","Ureterocele"
"http://purl.obolibrary.org/obo/HP_0000071","Ureteral stenosis"
"http://purl.obolibrary.org/obo/HP_0000072","Hydroureter"
"http://purl.obolibrary.org/obo/HP_0000073","Ureteral duplication"
"http://purl.obolibrary.org/obo/HP_0000074","Ureteropelvic junction obstruction"
"http://purl.obolibrary.org/obo/HP_0000075","Renal duplication"
"http://purl.obolibrary.org/obo/HP_0000076","Vesicoureteral reflux"
"http://purl.obolibrary.org/obo/HP_0000077","Abnormality of the kidney"
"http://purl.obolibrary.org/obo/HP_0000078","Abnormality of the genital system"
"http://purl.obolibrary.org/obo/HP_0000079","Abnormality of the urinary system"
"http://purl.obolibrary.org/obo/HP_0000080","Abnormality of reproductive system physiology"
"http://purl.obolibrary.org/obo/HP_0000081","Duplicated collecting system"
"http://purl.obolibrary.org/obo/HP_0000083","Renal insufficiency"
"http://purl.obolibrary.org/obo/HP_0000085","Horseshoe kidney"
"http://purl.obolibrary.org/obo/HP_0000086","Ectopic kidney"
"http://purl.obolibrary.org/obo/HP_0000089","Renal hypoplasia"
"http://purl.obolibrary.org/obo/HP_0000090","Nephronophthisis"
"http://purl.obolibrary.org/obo/HP_0000091","Abnormal renal tubule morphology"
"http://purl.obolibrary.org/obo/HP_0000092","Renal tubular atrophy"
"http://purl.obolibrary.org/obo/HP_0000093","Proteinuria"
"http://purl.obolibrary.org/obo/HP_0000095","Abnormal renal glomerulus morphology"
"http://purl.obolibrary.org/obo/HP_0000096","Glomerular sclerosis"
"http://purl.obolibrary.org/obo/HP_0000097","Focal segmental glomerulosclerosis"
"http://purl.obolibrary.org/obo/HP_0000098","Tall stature"
"http://purl.obolibrary.org/obo/HP_0000099","Glomerulonephritis"
"http://purl.obolibrary.org/obo/HP_0000100","Nephrotic syndrome"
"http://purl.obolibrary.org/obo/HP_0000103","Polyuria"
"http://purl.obolibrary.org/obo/HP_0000104","Renal agenesis"
"http://purl.obolibrary.org/obo/HP_0000105","Enlarged kidney"
"http://purl.obolibrary.org/obo/HP_0000107","Renal cyst"
"http://purl.obolibrary.org/obo/HP_0000108","Renal corticomedullary cysts"
"http://purl.obolibrary.org/obo/HP_0000110","Renal dysplasia"
"http://purl.obolibrary.org/obo/HP_0000111","Renal juxtaglomerular cell hypertrophy/hyperplasia"
"http://purl.obolibrary.org/obo/HP_0000112","Nephropathy"
"http://purl.obolibrary.org/obo/HP_0000113","Polycystic kidney dysplasia"
"http://purl.obolibrary.org/obo/HP_0000114","Proximal tubulopathy"
"http://purl.obolibrary.org/obo/HP_0000117","Renal phosphate wasting"
"http://purl.obolibrary.org/obo/HP_0000119","Abnormality of the genitourinary system"
"http://purl.obolibrary.org/obo/HP_0000121","Nephrocalcinosis"
"http://purl.obolibrary.org/obo/HP_0000122","Unilateral renal agenesis"
"http://purl.obolibrary.org/obo/HP_0000123","Nephritis"
"http://purl.obolibrary.org/obo/HP_0000124","Renal tubular dysfunction"
"http://purl.obolibrary.org/obo/HP_0000125","Pelvic kidney"
"http://purl.obolibrary.org/obo/HP_0000126","Hydronephrosis"
"http://purl.obolibrary.org/obo/HP_0000127","Renal salt wasting"
"http://purl.obolibrary.org/obo/HP_0000128","Renal potassium wasting"
"http://purl.obolibrary.org/obo/HP_0000130","Abnormality of the uterus"
"http://purl.obolibrary.org/obo/HP_0000131","Uterine leiomyoma"
"http://purl.obolibrary.org/obo/HP_0000132","Menorrhagia"
"http://purl.obolibrary.org/obo/HP_0000133","Gonadal dysgenesis"
"http://purl.obolibrary.org/obo/HP_0000134","Female hypogonadism"
"http://purl.obolibrary.org/obo/HP_0000135","Hypogonadism"
"http://purl.obolibrary.org/obo/HP_0000136","Bifid uterus"
"http://purl.obolibrary.org/obo/HP_0000137","Abnormality of the ovary"
"http://purl.obolibrary.org/obo/HP_0000138","Ovarian cyst"
"http://purl.obolibrary.org/obo/HP_0000139","Uterine prolapse"
"http://purl.obolibrary.org/obo/HP_0000140","Abnormality of the menstrual cycle"
"http://purl.obolibrary.org/obo/HP_0000141","Amenorrhea"
"http://purl.obolibrary.org/obo/HP_0000142","Abnormal vagina morphology"
"http://purl.obolibrary.org/obo/HP_0000143","Rectovaginal fistula"
"http://purl.obolibrary.org/obo/HP_0000144","Decreased fertility"
"http://purl.obolibrary.org/obo/HP_0000145","Transverse vaginal septum"
"http://purl.obolibrary.org/obo/HP_0000147","Polycystic ovaries"
"http://purl.obolibrary.org/obo/HP_0000148","Vaginal atresia"
"http://purl.obolibrary.org/obo/HP_0000149","Ovarian gonadoblastoma"
"http://purl.obolibrary.org/obo/HP_0000150","Gonadoblastoma"
"http://purl.obolibrary.org/obo/HP_0000151","Aplasia of the uterus"
"http://purl.obolibrary.org/obo/HP_0000152","Abnormality of head or neck"
"http://purl.obolibrary.org/obo/HP_0000153","Abnormality of the mouth"
"http://purl.obolibrary.org/obo/HP_0000154","Wide mouth"
"http://purl.obolibrary.org/obo/HP_0000155","Oral ulcer"
"http://purl.obolibrary.org/obo/HP_0000157","Abnormality of the tongue"
"http://purl.obolibrary.org/obo/HP_0000158","Macroglossia"
"http://purl.obolibrary.org/obo/HP_0000159","Abnormal lip morphology"
"http://purl.obolibrary.org/obo/HP_0000160","Narrow mouth"
"http://purl.obolibrary.org/obo/HP_0000161","Median cleft upper lip"
"http://purl.obolibrary.org/obo/HP_0000162","Glossoptosis"
"http://purl.obolibrary.org/obo/HP_0000163","Abnormal oral cavity morphology"
"http://purl.obolibrary.org/obo/HP_0000164","Abnormality of the dentition"
"http://purl.obolibrary.org/obo/HP_0000166","Severe periodontitis"
"http://purl.obolibrary.org/obo/HP_0000168","Abnormality of the gingiva"
"http://purl.obolibrary.org/obo/HP_0000169","Gingival fibromatosis"
"http://purl.obolibrary.org/obo/HP_0000171","Microglossia"
"http://purl.obolibrary.org/obo/HP_0000172","Abnormal uvula morphology"
"http://purl.obolibrary.org/obo/HP_0000174","Abnormal palate morphology"
"http://purl.obolibrary.org/obo/HP_0000175","Cleft palate"
"http://purl.obolibrary.org/obo/HP_0000176","Submucous cleft hard palate"
"http://purl.obolibrary.org/obo/HP_0000177","Abnormal upper lip morphology"
"http://purl.obolibrary.org/obo/HP_0000178","Abnormal lower lip morphology"
"http://purl.obolibrary.org/obo/HP_0000179","Thick lower lip vermilion"
"http://purl.obolibrary.org/obo/HP_0000180","Lobulated tongue"
"http://purl.obolibrary.org/obo/HP_0000182","Movement abnormality of the tongue"
"http://purl.obolibrary.org/obo/HP_0000183","Tongue muscle weakness"
"http://purl.obolibrary.org/obo/HP_0000185","Cleft soft palate"
"http://purl.obolibrary.org/obo/HP_0000187","Broad alveolar ridges"
"http://purl.obolibrary.org/obo/HP_0000188","Short upper lip"
"http://purl.obolibrary.org/obo/HP_0000189","Narrow palate"
"http://purl.obolibrary.org/obo/HP_0000190","Abnormal oral frenulum morphology"
"http://purl.obolibrary.org/obo/HP_0000191","Accessory oral frenulum"
"http://purl.obolibrary.org/obo/HP_0000193","Bifid uvula"
"http://purl.obolibrary.org/obo/HP_0000194","Open mouth"
"http://purl.obolibrary.org/obo/HP_0000196","Lower lip pit"
"http://purl.obolibrary.org/obo/HP_0000197","Abnormal parotid gland morphology"
"http://purl.obolibrary.org/obo/HP_0000198","Absence of Stensen duct"
"http://purl.obolibrary.org/obo/HP_0000199","Tongue nodules"
"http://purl.obolibrary.org/obo/HP_0000200","Short lingual frenulum"
"http://purl.obolibrary.org/obo/HP_0000201","Pierre-Robin sequence"
"http://purl.obolibrary.org/obo/HP_0000202","Orofacial cleft"
"http://purl.obolibrary.org/obo/HP_0000204","Cleft upper lip"
"http://purl.obolibrary.org/obo/HP_0000205","Pursed lips"
"http://purl.obolibrary.org/obo/HP_0000206","Glossitis"
"http://purl.obolibrary.org/obo/HP_0000207","Triangular mouth"
"http://purl.obolibrary.org/obo/HP_0000211","Trismus"
"http://purl.obolibrary.org/obo/HP_0000212","Gingival overgrowth"
"http://purl.obolibrary.org/obo/HP_0000214","Lip telangiectasia"
"http://purl.obolibrary.org/obo/HP_0000215","Thick upper lip vermilion"
"http://purl.obolibrary.org/obo/HP_0000216","Broad secondary alveolar ridge"
"http://purl.obolibrary.org/obo/HP_0000217","Xerostomia"
"http://purl.obolibrary.org/obo/HP_0000218","High palate"
"http://purl.obolibrary.org/obo/HP_0000219","Thin upper lip vermilion"
"http://purl.obolibrary.org/obo/HP_0000220","Velopharyngeal insufficiency"
"http://purl.obolibrary.org/obo/HP_0000221","Furrowed tongue"
"http://purl.obolibrary.org/obo/HP_0000222","Gingival hyperkeratosis"
"http://purl.obolibrary.org/obo/HP_0000223","Abnormality of taste sensation"
"http://purl.obolibrary.org/obo/HP_0000224","Hypogeusia"
"http://purl.obolibrary.org/obo/HP_0000225","Gingival bleeding"
"http://purl.obolibrary.org/obo/HP_0000227","Tongue telangiectasia"
"http://purl.obolibrary.org/obo/HP_0000228","Oral cavity telangiectasia"
"http://purl.obolibrary.org/obo/HP_0000230","Gingivitis"
"http://purl.obolibrary.org/obo/HP_0000232","Everted lower lip vermilion"
"http://purl.obolibrary.org/obo/HP_0000233","Thin vermilion border"
"http://purl.obolibrary.org/obo/HP_0000234","Abnormality of the head"
"http://purl.obolibrary.org/obo/HP_0000235","Abnormal cranial suture/fontanelle morphology"
"http://purl.obolibrary.org/obo/HP_0000236","Abnormal anterior fontanelle morphology"
"http://purl.obolibrary.org/obo/HP_0000237","Small anterior fontanelle"
"http://purl.obolibrary.org/obo/HP_0000238","Hydrocephalus"
"http://purl.obolibrary.org/obo/HP_0000239","Large fontanelles"
"http://purl.obolibrary.org/obo/HP_0000240","Abnormality of skull size"
"http://purl.obolibrary.org/obo/HP_0000242","Parietal bossing"
"http://purl.obolibrary.org/obo/HP_0000243","Trigonocephaly"
"http://purl.obolibrary.org/obo/HP_0000244","Brachyturricephaly"
"http://purl.obolibrary.org/obo/HP_0000245","Abnormal paranasal sinus morphology"
"http://purl.obolibrary.org/obo/HP_0000246","Sinusitis"
"http://purl.obolibrary.org/obo/HP_0000248","Brachycephaly"
"http://purl.obolibrary.org/obo/HP_0000250","Dense calvaria"
"http://purl.obolibrary.org/obo/HP_0000252","Microcephaly"
"http://purl.obolibrary.org/obo/HP_0000253","Progressive microcephaly"
"http://purl.obolibrary.org/obo/HP_0000255","Acute sinusitis"
"http://purl.obolibrary.org/obo/HP_0000256","Macrocephaly"
"http://purl.obolibrary.org/obo/HP_0000260","Wide anterior fontanel"
"http://purl.obolibrary.org/obo/HP_0000262","Turricephaly"
"http://purl.obolibrary.org/obo/HP_0000263","Oxycephaly"
"http://purl.obolibrary.org/obo/HP_0000264","Abnormal mastoid morphology"
"http://purl.obolibrary.org/obo/HP_0000265","Mastoiditis"
"http://purl.obolibrary.org/obo/HP_0000267","Cranial asymmetry"
"http://purl.obolibrary.org/obo/HP_0000268","Dolichocephaly"
"http://purl.obolibrary.org/obo/HP_0000269","Prominent occiput"
"http://purl.obolibrary.org/obo/HP_0000270","Delayed cranial suture closure"
"http://purl.obolibrary.org/obo/HP_0000271","Abnormality of the face"
"http://purl.obolibrary.org/obo/HP_0000272","Malar flattening"
"http://purl.obolibrary.org/obo/HP_0000273","Facial grimacing"
"http://purl.obolibrary.org/obo/HP_0000274","Small face"
"http://purl.obolibrary.org/obo/HP_0000275","Narrow face"
"http://purl.obolibrary.org/obo/HP_0000276","Long face"
"http://purl.obolibrary.org/obo/HP_0000277","Abnormal mandible morphology"
"http://purl.obolibrary.org/obo/HP_0000278","Retrognathia"
"http://purl.obolibrary.org/obo/HP_0000280","Coarse facial features"
"http://purl.obolibrary.org/obo/HP_0000282","Facial edema"
"http://purl.obolibrary.org/obo/HP_0000283","Broad face"
"http://purl.obolibrary.org/obo/HP_0000286","Epicanthus"
"http://purl.obolibrary.org/obo/HP_0000287","Increased facial adipose tissue"
"http://purl.obolibrary.org/obo/HP_0000288","Abnormality of the philtrum"
"http://purl.obolibrary.org/obo/HP_0000289","Broad philtrum"
"http://purl.obolibrary.org/obo/HP_0000290","Abnormality of the forehead"
"http://purl.obolibrary.org/obo/HP_0000291","Abnormality of facial adipose tissue"
"http://purl.obolibrary.org/obo/HP_0000292","Loss of facial adipose tissue"
"http://purl.obolibrary.org/obo/HP_0000293","Full cheeks"
"http://purl.obolibrary.org/obo/HP_0000294","Low anterior hairline"
"http://purl.obolibrary.org/obo/HP_0000295","Doll-like facies"
"http://purl.obolibrary.org/obo/HP_0000297","Facial hypotonia"
"http://purl.obolibrary.org/obo/HP_0000298","Mask-like facies"
"http://purl.obolibrary.org/obo/HP_0000300","Oval face"
"http://purl.obolibrary.org/obo/HP_0000301","Abnormality of facial musculature"
"http://purl.obolibrary.org/obo/HP_0000303","Mandibular prognathia"
"http://purl.obolibrary.org/obo/HP_0000306","Abnormality of the chin"
"http://purl.obolibrary.org/obo/HP_0000307","Pointed chin"
"http://purl.obolibrary.org/obo/HP_0000308","Microretrognathia"
"http://purl.obolibrary.org/obo/HP_0000309","Abnormal midface morphology"
"http://purl.obolibrary.org/obo/HP_0000311","Round face"
"http://purl.obolibrary.org/obo/HP_0000315","Abnormality of the orbital region"
"http://purl.obolibrary.org/obo/HP_0000316","Hypertelorism"
"http://purl.obolibrary.org/obo/HP_0000317","Facial myokymia"
"http://purl.obolibrary.org/obo/HP_0000319","Smooth philtrum"
"http://purl.obolibrary.org/obo/HP_0000320","Bird-like facies"
"http://purl.obolibrary.org/obo/HP_0000321","Square face"
"http://purl.obolibrary.org/obo/HP_0000322","Short philtrum"
"http://purl.obolibrary.org/obo/HP_0000324","Facial asymmetry"
"http://purl.obolibrary.org/obo/HP_0000325","Triangular face"
"http://purl.obolibrary.org/obo/HP_0000326","Abnormal maxilla morphology"
"http://purl.obolibrary.org/obo/HP_0000327","Hypoplasia of the maxilla"
"http://purl.obolibrary.org/obo/HP_0000329","Facial hemangioma"
"http://purl.obolibrary.org/obo/HP_0000331","Short chin"
"http://purl.obolibrary.org/obo/HP_0000336","Prominent supraorbital ridges"
"http://purl.obolibrary.org/obo/HP_0000337","Broad forehead"
"http://purl.obolibrary.org/obo/HP_0000338","Hypomimic face"
"http://purl.obolibrary.org/obo/HP_0000339","Pugilistic facies"
"http://purl.obolibrary.org/obo/HP_0000340","Sloping forehead"
"http://purl.obolibrary.org/obo/HP_0000341","Narrow forehead"
"http://purl.obolibrary.org/obo/HP_0000343","Long philtrum"
"http://purl.obolibrary.org/obo/HP_0000346","Whistling appearance"
"http://purl.obolibrary.org/obo/HP_0000347","Micrognathia"
"http://purl.obolibrary.org/obo/HP_0000348","High forehead"
"http://purl.obolibrary.org/obo/HP_0000349","Widow's peak"
"http://purl.obolibrary.org/obo/HP_0000350","Small forehead"
"http://purl.obolibrary.org/obo/HP_0000356","Abnormality of the outer ear"
"http://purl.obolibrary.org/obo/HP_0000357","Abnormal location of ears"
"http://purl.obolibrary.org/obo/HP_0000358","Posteriorly rotated ears"
"http://purl.obolibrary.org/obo/HP_0000359","Abnormality of the inner ear"
"http://purl.obolibrary.org/obo/HP_0000360","Tinnitus"
"http://purl.obolibrary.org/obo/HP_0000362","Otosclerosis"
"http://purl.obolibrary.org/obo/HP_0000363","Abnormal earlobe morphology"
"http://purl.obolibrary.org/obo/HP_0000364","Hearing abnormality"
"http://purl.obolibrary.org/obo/HP_0000365","Hearing impairment"
"http://purl.obolibrary.org/obo/HP_0000366","Abnormality of the nose"
"http://purl.obolibrary.org/obo/HP_0000369","Low-set ears"
"http://purl.obolibrary.org/obo/HP_0000370","Abnormality of the middle ear"
"http://purl.obolibrary.org/obo/HP_0000371","Acute otitis media"
"http://purl.obolibrary.org/obo/HP_0000372","Abnormal auditory canal morphology"
"http://purl.obolibrary.org/obo/HP_0000375","Abnormal cochlea morphology"
"http://purl.obolibrary.org/obo/HP_0000376","Incomplete partition of the cochlea type II"
"http://purl.obolibrary.org/obo/HP_0000377","Abnormal pinna morphology"
"http://purl.obolibrary.org/obo/HP_0000378","Cupped ear"
"http://purl.obolibrary.org/obo/HP_0000381","Stapes ankylosis"
"http://purl.obolibrary.org/obo/HP_0000383","Abnormal periauricular region morphology"
"http://purl.obolibrary.org/obo/HP_0000384","Preauricular skin tag"
"http://purl.obolibrary.org/obo/HP_0000385","Small earlobe"
"http://purl.obolibrary.org/obo/HP_0000387","Absent earlobe"
"http://purl.obolibrary.org/obo/HP_0000388","Otitis media"
"http://purl.obolibrary.org/obo/HP_0000389","Chronic otitis media"
"http://purl.obolibrary.org/obo/HP_0000391","Thickened helices"
"http://purl.obolibrary.org/obo/HP_0000394","Lop ear"
"http://purl.obolibrary.org/obo/HP_0000395","Prominent antihelix"
"http://purl.obolibrary.org/obo/HP_0000396","Overfolded helix"
"http://purl.obolibrary.org/obo/HP_0000399","Prelingual sensorineural hearing impairment"
"http://purl.obolibrary.org/obo/HP_0000400","Macrotia"
"http://purl.obolibrary.org/obo/HP_0000402","Stenosis of the external auditory canal"
"http://purl.obolibrary.org/obo/HP_0000403","Recurrent otitis media"
"http://purl.obolibrary.org/obo/HP_0000405","Conductive hearing impairment"
"http://purl.obolibrary.org/obo/HP_0000407","Sensorineural hearing impairment"
"http://purl.obolibrary.org/obo/HP_0000408","Progressive sensorineural hearing impairment"
"http://purl.obolibrary.org/obo/HP_0000410","Mixed hearing impairment"
"http://purl.obolibrary.org/obo/HP_0000411","Protruding ear"
"http://purl.obolibrary.org/obo/HP_0000413","Atresia of the external auditory canal"
"http://purl.obolibrary.org/obo/HP_0000414","Bulbous nose"
"http://purl.obolibrary.org/obo/HP_0000415","Abnormal choanae morphology"
"http://purl.obolibrary.org/obo/HP_0000417","Slender nose"
"http://purl.obolibrary.org/obo/HP_0000418","Narrow nasal ridge"
"http://purl.obolibrary.org/obo/HP_0000419","Abnormal nasal septum morphology"
"http://purl.obolibrary.org/obo/HP_0000420","Short nasal septum"
"http://purl.obolibrary.org/obo/HP_0000421","Epistaxis"
"http://purl.obolibrary.org/obo/HP_0000422","Abnormal nasal bridge morphology"
"http://purl.obolibrary.org/obo/HP_0000426","Prominent nasal bridge"
"http://purl.obolibrary.org/obo/HP_0000429","Abnormal morphology of the nasal alae"
"http://purl.obolibrary.org/obo/HP_0000430","Underdeveloped nasal alae"
"http://purl.obolibrary.org/obo/HP_0000431","Wide nasal bridge"
"http://purl.obolibrary.org/obo/HP_0000433","Abnormal nasal mucosa morphology"
"http://purl.obolibrary.org/obo/HP_0000434","Nasal mucosa telangiectasia"
"http://purl.obolibrary.org/obo/HP_0000436","Abnormal nasal tip morphology"
"http://purl.obolibrary.org/obo/HP_0000437","Depressed nasal tip"
"http://purl.obolibrary.org/obo/HP_0000444","Convex nasal ridge"
"http://purl.obolibrary.org/obo/HP_0000445","Wide nose"
"http://purl.obolibrary.org/obo/HP_0000446","Narrow nasal bridge"
"http://purl.obolibrary.org/obo/HP_0000447","Pear-shaped nose"
"http://purl.obolibrary.org/obo/HP_0000448","Prominent nose"
"http://purl.obolibrary.org/obo/HP_0000451","Triangular nasal tip"
"http://purl.obolibrary.org/obo/HP_0000452","Choanal stenosis"
"http://purl.obolibrary.org/obo/HP_0000453","Choanal atresia"
"http://purl.obolibrary.org/obo/HP_0000454","Flared nostrils"
"http://purl.obolibrary.org/obo/HP_0000455","Broad nasal tip"
"http://purl.obolibrary.org/obo/HP_0000456","Bifid nasal tip"
"http://purl.obolibrary.org/obo/HP_0000457","Depressed nasal ridge"
"http://purl.obolibrary.org/obo/HP_0000458","Anosmia"
"http://purl.obolibrary.org/obo/HP_0000460","Narrow nose"
"http://purl.obolibrary.org/obo/HP_0000463","Anteverted nares"
"http://purl.obolibrary.org/obo/HP_0000464","Abnormality of the neck"
"http://purl.obolibrary.org/obo/HP_0000465","Webbed neck"
"http://purl.obolibrary.org/obo/HP_0000466","Limited neck range of motion"
"http://purl.obolibrary.org/obo/HP_0000467","Neck muscle weakness"
"http://purl.obolibrary.org/obo/HP_0000468","Increased adipose tissue around the neck"
"http://purl.obolibrary.org/obo/HP_0000470","Short neck"
"http://purl.obolibrary.org/obo/HP_0000471","Gastrointestinal angiodysplasia"
"http://purl.obolibrary.org/obo/HP_0000472","Long neck"
"http://purl.obolibrary.org/obo/HP_0000473","Torticollis"
"http://purl.obolibrary.org/obo/HP_0000474","Thickened nuchal skin fold"
"http://purl.obolibrary.org/obo/HP_0000475","Broad neck"
"http://purl.obolibrary.org/obo/HP_0000476","Cystic hygroma"
"http://purl.obolibrary.org/obo/HP_0000478","Abnormality of the eye"
"http://purl.obolibrary.org/obo/HP_0000479","Abnormal retinal morphology"
"http://purl.obolibrary.org/obo/HP_0000480","Retinal coloboma"
"http://purl.obolibrary.org/obo/HP_0000481","Abnormal cornea morphology"
"http://purl.obolibrary.org/obo/HP_0000482","Microcornea"
"http://purl.obolibrary.org/obo/HP_0000483","Astigmatism"
"http://purl.obolibrary.org/obo/HP_0000484","Hyperopic astigmatism"
"http://purl.obolibrary.org/obo/HP_0000485","Megalocornea"
"http://purl.obolibrary.org/obo/HP_0000486","Strabismus"
"http://purl.obolibrary.org/obo/HP_0000488","Retinopathy"
"http://purl.obolibrary.org/obo/HP_0000490","Deeply set eye"
"http://purl.obolibrary.org/obo/HP_0000491","Keratitis"
"http://purl.obolibrary.org/obo/HP_0000492","Abnormal eyelid morphology"
"http://purl.obolibrary.org/obo/HP_0000493","Abnormal foveal morphology"
"http://purl.obolibrary.org/obo/HP_0000494","Downslanted palpebral fissures"
"http://purl.obolibrary.org/obo/HP_0000495","Recurrent corneal erosions"
"http://purl.obolibrary.org/obo/HP_0000496","Abnormality of eye movement"
"http://purl.obolibrary.org/obo/HP_0000497","Globe retraction and deviation on abduction"
"http://purl.obolibrary.org/obo/HP_0000498","Blepharitis"
"http://purl.obolibrary.org/obo/HP_0000499","Abnormal eyelash morphology"
"http://purl.obolibrary.org/obo/HP_0000501","Glaucoma"
"http://purl.obolibrary.org/obo/HP_0000502","Abnormal conjunctiva morphology"
"http://purl.obolibrary.org/obo/HP_0000503","Tortuosity of conjunctival vessels"
"http://purl.obolibrary.org/obo/HP_0000504","Abnormality of vision"
"http://purl.obolibrary.org/obo/HP_0000505","Visual impairment"
"http://purl.obolibrary.org/obo/HP_0000506","Telecanthus"
"http://purl.obolibrary.org/obo/HP_0000508","Ptosis"
"http://purl.obolibrary.org/obo/HP_0000509","Conjunctivitis"
"http://purl.obolibrary.org/obo/HP_0000510","Rod-cone dystrophy"
"http://purl.obolibrary.org/obo/HP_0000511","Vertical supranuclear gaze palsy"
"http://purl.obolibrary.org/obo/HP_0000512","Abnormal electroretinogram"
"http://purl.obolibrary.org/obo/HP_0000514","Slow saccadic eye movements"
"http://purl.obolibrary.org/obo/HP_0000517","Abnormal lens morphology"
"http://purl.obolibrary.org/obo/HP_0000518","Cataract"
"http://purl.obolibrary.org/obo/HP_0000519","Developmental cataract"
"http://purl.obolibrary.org/obo/HP_0000520","Proptosis"
"http://purl.obolibrary.org/obo/HP_0000522","Alacrima"
"http://purl.obolibrary.org/obo/HP_0000523","Subcapsular cataract"
"http://purl.obolibrary.org/obo/HP_0000524","Conjunctival telangiectasia"
"http://purl.obolibrary.org/obo/HP_0000525","Abnormality iris morphology"
"http://purl.obolibrary.org/obo/HP_0000526","Aniridia"
"http://purl.obolibrary.org/obo/HP_0000527","Long eyelashes"
"http://purl.obolibrary.org/obo/HP_0000528","Anophthalmia"
"http://purl.obolibrary.org/obo/HP_0000529","Progressive visual loss"
"http://purl.obolibrary.org/obo/HP_0000531","Corneal crystals"
